location,title,lat,long,position,start,end
"DamLab Makerspace","Makerspace Technician",44.56419306259982,-123.2815402276203,"March 2018","June 2021"
"Naval Air Warfare Center Weapons Division (NAWCWD)","Student Trainee (Engineering)",34.112609,-119.104104,"June 2018","August 2018"
"Tekbots","Tekbots Developer",44.56699864993033,-123.27881412843966,"June 2019","March 2020"
"ResiSTORE","Store Manager",44.567276518838305,-123.275542821425,"January 2018","December 2019"
"FormFactor, Inc.","Computer Engineering Intern",45.453812114812514,-122.79086479978461,"March 2020","September 2020"
"SpaceX","Avionics Intern",33.92070355028319,-118.32704525206023,"September 2020","December 2020"
"SpaceX","Starlink Intern",47.69324446482421,-122.03527401805528,"September 2021","December 2021"
